date,overall_ask,overall_sold,condos_ask,condos_sold,condoTown_ask,condoTown_sold,freeTown_ask,freeTown_sold,detached_ask,detached_sold
2017-03-01,"686,787","827,325","439,900","488,800","509,450","620,000","799,000","950,000","998,800","1,250,500"
2017-02-01,"681,222","796,000","438,000","453,000","499,000","571,000","788,888","905,000","999,000","1,255,000"
2017-01-01,"638,448","705,502","415,000","425,000","488,844","539,500","749,950","845,511","899,999","1,012,000"
2016-12-01,"631,662","656,750","409,000","410,000","498,900","515,000","718,800","752,000","899,950","950,000"
2016-11-01,"649,175","685,025","409,900","412,000","499,000","523,750","749,000","800,550","938,800","1,003,800"
2016-10-01,"641,712","680,437","399,850","401,750","499,000","525,000","749,000","795,000","919,000","1,000,000"
2016-09-01,"619,200","661,225","399,000","396,900","479,900","503,500","699,900","790,500","898,000","954,000"
2016-08-01,"588,622","614,250","398,000","390,000","478,500","495,000","678,000","707,000","799,990","865,000"
2016-07-01,"592,975","624,750","379,900","378,000","459,000","476,000","699,000","760,000","834,000","885,000"
2016-06-01,"611,312","654,375","388,000","385,000","477,450","492,500","699,900","800,000","879,900","940,000"
2016-05-01,"611,722","654,000","389,990","388,000","469,000","488,000","699,000","780,000","888,900","960,000"
2016-04-01,"612,575","648,750","389,900","385,000","462,400","489,000","699,000","760,000","899,000","961,000"
2016-03-01,"588,559","616,750","369,900","366,000","456,450","476,000","699,000","745,000","828,888","880,000"
2016-02-01,"599,850","625,000","379,900","377,000","449,000","461,000","699,000","742,000","871,500","920,000"
2016-01-01,"545,837","555,875","375,000","368,000","429,450","424,000","599,900","644,500","779,000","787,000"
2015-12-01,"547,700","547,000","357,900","348,000","414,900","412,000","679,000","688,000","739,000","740,000"
2015-11-01,"567,462","566,762","365,000","357,000","429,950","430,050","679,900","685,000","795,000","795,000"
2015-10-01,"567,173","576,375","359,900","355,000","432,400","435,450","676,944","695,000","799,450","820,050"
2015-09-01,"551,763","566,562","359,906","355,750","418,000","420,000","659,450","699,000","769,700","791,500"
2015-08-01,"529,300","539,125","359,250","353,000","427,950","428,000","599,000","622,500","731,000","753,000"
2015-07-01,"544,175","546,750","359,900","353,000","438,800","444,000","629,000","650,000","749,000","740,000"
2015-06-01,"547,098","566,787","360,500","356,500","408,944","430,750","649,950","680,000","769,000","799,900"
2015-05-01,"559,700","578,500","364,900","357,000","425,000","437,500","649,900","691,500","799,000","828,000"
2015-04-01,"546,353","567,450","365,000","360,000","429,000","441,000","609,900","658,800","781,513","810,000"
2015-03-01,"543,337","563,625","359,900","355,000","405,000","420,000","629,000","672,000","779,450","807,500"
2015-02-01,"529,050","547,437","335,250","330,000","388,000","392,250","629,000","657,000","763,950","810,500"
2015-01-01,"525,237","528,437","344,950","337,500","394,999","395,000","629,000","635,000","732,000","746,250"
2014-12-01,"492,137","488,575","349,900","341,500","368,750","364,000","569,900","571,800","679,999","677,000"
2014-11-01,"515,950","526,372","349,000","339,490","415,900","420,000","599,000","616,000","699,900","730,000"
2014-10-01,"516,962","529,500","349,000","343,000","398,900","395,000","599,950","640,000","720,000","740,000"
2014-09-01,"509,900","523,750","349,900","340,000","389,900","388,000","599,900","640,000","699,900","727,000"
2014-08-01,"484,175","486,062","337,900","330,000","389,900","386,000","559,000","571,250","649,900","657,000"
2014-07-01,"499,112","501,343","349,000","340,500","389,450","385,875","589,000","599,000","669,000","680,000"
2014-06-01,"509,912","517,875","356,750","349,500","385,000","388,000","598,900","619,000","699,000","715,000"
2014-05-01,"508,975","519,000","349,000","340,000","388,000","388,000","599,000","620,000","699,900","728,000"
2014-04-01,"507,425","519,212","350,000","347,900","389,900","387,000","589,900","611,950","699,900","730,000"
2014-03-01,"489,712","502,400","344,900","338,100","359,950","372,500","575,000","599,500","679,000","699,500"
2014-02-01,"519,075","528,750","345,500","339,000","395,000","400,000","595,800","625,000","740,000","751,000"
2014-01-01,"476,100","472,437","338,900","330,750","330,000","320,000","539,000","540,000","696,500","699,000"
2013-12-01,"467,961","469,375","329,900","325,000","358,000","359,000","554,495","565,500","629,450","628,000"
2013-11-01,"482,175","482,600","339,900","330,500","369,000","359,900","569,900","580,000","649,900","660,000"
