Neighbourhood,id,Population_2016,Population_2011,Population_Change_20112016,Total_private_dwellings,Children_0_to_14_years,Youth_15_to_24_years,Working_Age_25_to_54_years,Preretirement_55_to_64_years,Seniors_65_years_and_older,Income_under_10000_including_loss,Income_10000_to_19999,Income_20000_to_29999,Income_30000_to_39999,Income_40000_to_49999,Income_50000_to_59999,Income_60000_to_69999,Income_70000_to_79999,Income_80000_to_89999,Income_90000_to_99999,Income_100000_and_over,No_certificate_diploma_or_degree,Secondary_high_school_diploma_or_equivalency_certificate,Postsecondary_certificate_diploma_or_degree,Apprenticeship_or_trades_certificate_or_diploma,College_CEGEP_or_other_nonuniversity_certificate_or_diploma,University_certificate_or_diploma_below_bachelor_level,University_certificate_diploma_or_degree_at_bachelor_level_or_above,Bachelors_degree,University_certificate_or_diploma_above_bachelor_level,Degree_in_medicine_dentistry_veterinary_medicine_or_optometry,Masters_degree,Earned_doctorate,Total_income_Average_amount_,Market_income_Average_amount_,Employment_income_Average_amount_,Investment_income_Average_amount_,Private_retirement_income_Average_amount_,Canada_Pension_Plan_CPP_and_Quebec_Pension_Plan_QPP_benefits_Average_amount,Employment_Insurance_EI_benefits_Average_amount,Child_benefits_Average_amount,Social_assistance_benefits_Average_amount,Workers_compensation_benefits_Average_amount_,Working_income_tax_benefit_WITB_Average_amount_,Goods_and_services_tax_GST_credit_and_harmonized_sales_tax_HST_credit_Average_amount_,Aftertax_income_Average_amount_,Income_taxes_Average_amount_,Net_federal_tax_Average_amount_,Provincial_and_territorial_income_taxes_Average_amount_,City_Grants_Funding_,Neighbourhood_Equity_Score,Walk_Score,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Catholic_School_Graduation,Catholic_School_Literacy,Green_Rebate_Programs,Green_Spaces,Health_Providers,Premature_Mortality,Rent_Bank_Applicants,Social_Housing_Units,Social_Housing_Waiting_List,Arsons,Assaults,Break__Enters,Drug_Arrests,Fire_Medical_Calls,Fire_Vehicle_Incidents,Fires__Fire_Alarms,Hazardous_Incidents,Murders,Robberies,Sexual_Assaults,Thefts,Total_Major_Crime_Incidents,Vehicle_Thefts
West Hill,136,27392.000,26547.000,0.032,27.374,12.297,10.479,28.560,10.042,11.249,19.819,23.432,17.015,13.356,10.504,6.464,3.755,2.519,1.521,0.570,1.046,15.060,26.964,57.976,6.244,24.425,2.985,24.220,16.707,1.715,0.617,4.803,0.309,33323.000,33719.000,35383.000,3032.000,17762.000,7004.000,7332.000,7103.000,9355.000,8957.000,847.000,380.000,29221.000,7554.000,5260.000,2728.000,33.902,42.380,62.000,0.983,0.309,729.000,293600.000,6.871,9.730,0.853,81.061,0.753,0.000,0.064,0.968,0.053,6.257,2.034,0.000,0.848,0.294,0.181,3.032,0.365,1.055,0.396,0.000,0.222,0.075,0.030,1.737,0.087
West Humber-Clairville,1,33312.000,34100.000,-0.023,24.896,11.405,12.273,31.207,8.994,11.225,20.735,21.744,17.708,14.737,11.005,6.036,3.522,2.152,1.181,0.495,0.685,14.411,27.155,58.406,5.567,21.023,3.504,28.285,18.649,1.837,0.904,6.414,0.339,31771.000,31489.000,33340.000,2636.000,14722.000,6778.000,6496.000,6141.000,9367.000,7630.000,825.000,348.000,28066.000,6429.000,4561.000,2317.000,205.279,35.730,70.000,0.434,0.132,712.000,330109.000,2.941,4.912,0.789,73.626,0.378,0.000,0.044,0.683,0.035,0.974,1.152,0.000,0.238,0.094,0.050,1.179,0.079,0.246,0.132,0.003,0.041,0.050,0.000,0.507,0.032
Westminster-Branson,35,26274.000,25446.000,0.033,28.451,9.362,9.131,29.569,9.525,13.961,19.692,25.665,18.712,12.949,8.913,5.110,3.173,2.147,1.283,0.723,1.633,6.206,19.840,73.989,4.254,20.467,4.951,44.282,28.173,5.544,1.464,8.159,1.081,32724.000,32863.000,33115.000,6938.000,16201.000,5959.000,7574.000,5691.000,10112.000,2367.000,892.000,355.000,28613.000,7438.000,5227.000,2770.000,0.000,45.120,68.000,3.808,0.204,727.000,279189.000,49.996,11.015,0.825,78.448,0.912,0.001,0.122,0.770,0.051,2.004,2.024,0.008,0.703,0.346,0.153,2.782,0.515,0.904,0.432,0.000,0.220,0.079,0.028,1.647,0.118
Weston,113,17992.000,18170.000,-0.010,30.949,11.902,8.543,29.889,9.330,9.387,18.595,23.495,17.730,14.054,10.703,6.306,3.532,2.450,1.441,0.721,0.973,18.704,27.246,54.148,8.346,23.319,2.602,19.588,13.648,1.767,0.295,3.436,0.491,32997.000,33745.000,35270.000,2528.000,16761.000,6720.000,7020.000,7198.000,9826.000,7718.000,813.000,373.000,28965.000,7353.000,5130.000,2631.000,41.277,47.720,64.000,4.695,1.101,738.000,329355.000,97.303,15.019,0.825,83.942,2.047,0.005,0.462,1.127,0.105,2.796,3.858,0.006,1.277,0.512,0.281,5.283,0.958,1.453,0.710,0.000,0.358,0.138,0.055,3.005,0.385
Weston-Pelham Park,91,11098.000,12010.000,-0.076,29.105,10.693,9.033,33.676,9.033,8.459,18.896,23.579,18.060,12.542,9.365,6.856,4.905,2.676,1.672,0.613,0.836,26.521,26.521,46.882,5.485,18.107,2.104,21.262,14.951,1.127,0.000,4.884,0.301,33528.000,34289.000,36779.000,2438.000,10346.000,6486.000,6291.000,5888.000,9051.000,14243.000,817.000,346.000,29334.000,7565.000,5278.000,2740.000,74.105,53.430,66.000,11.474,1.124,756.000,332710.000,152.614,12.839,0.818,87.013,3.913,0.002,0.624,1.300,0.100,1.432,3.206,0.017,1.174,0.916,0.167,4.646,1.041,1.940,0.550,0.000,0.366,0.200,0.042,3.164,0.300
Wexford/Maryvale,119,27917.000,27018.000,0.033,27.272,10.987,9.515,29.665,10.271,12.291,18.139,21.196,18.546,13.542,10.779,7.156,4.506,2.717,1.563,0.725,1.132,11.818,27.273,60.942,6.331,21.656,4.188,28.766,19.903,1.851,0.584,5.812,0.552,35047.000,34642.000,36566.000,3330.000,18034.000,7483.000,6749.000,6150.000,10312.000,7952.000,853.000,355.000,30272.000,7789.000,5413.000,2837.000,0.000,54.670,66.000,1.307,0.481,765.000,375307.000,27.571,7.143,0.799,80.000,2.868,0.001,0.074,0.513,0.022,0.285,1.965,0.000,0.274,0.389,0.074,1.529,0.329,0.481,0.222,0.000,0.200,0.022,0.015,1.096,0.122
Willowdale East,51,50434.000,45041.000,0.120,32.150,7.963,9.335,34.772,7.345,8.434,26.941,16.468,10.786,9.245,8.643,7.223,5.778,4.599,3.130,1.926,5.261,2.382,12.088,85.481,1.519,12.504,3.646,67.781,40.694,3.662,3.118,17.701,2.558,45326.000,49377.000,51669.000,9798.000,27432.000,6848.000,7913.000,4441.000,7996.000,0.000,894.000,313.000,36740.000,14631.000,10281.000,5557.000,4.440,56.850,65.000,4.640,0.488,770.000,387879.000,37.524,4.265,0.823,82.692,1.809,0.001,0.304,0.266,0.002,0.548,0.897,0.004,0.175,0.275,0.011,0.944,0.198,0.406,0.095,0.000,0.071,0.007,0.033,0.722,0.149
Willowdale West,37,16936.000,15004.000,0.129,32.230,7.143,8.924,29.933,8.284,13.486,24.238,18.389,11.629,9.737,8.126,6.620,5.779,4.588,3.538,2.137,5.219,3.053,14.684,82.316,2.000,13.737,3.053,63.474,39.421,3.000,2.053,16.000,2.737,44576.000,47442.000,49035.000,9440.000,24524.000,7383.000,8000.000,3788.000,7052.000,4600.000,824.000,313.000,36093.000,14346.000,10050.000,5347.000,0.000,48.810,42.000,5.845,1.400,738.000,426850.000,94.688,19.955,0.858,79.630,4.832,0.095,0.167,1.438,0.153,3.479,2.739,0.013,1.133,0.893,0.220,5.585,1.466,1.973,1.193,0.000,0.413,0.200,0.093,3.559,0.607
Willowridge-Martingrove-Richview,7,22156.000,21343.000,0.038,28.268,11.523,8.509,26.385,9.416,15.899,15.320,18.023,16.559,13.264,11.208,8.082,5.351,4.393,2.788,1.633,3.379,9.725,25.439,64.881,5.538,20.396,2.701,36.290,24.538,2.747,0.495,7.519,0.946,44177.000,42711.000,44908.000,6753.000,21041.000,8044.000,6898.000,5596.000,9888.000,6727.000,859.000,355.000,36713.000,11278.000,7742.000,4150.000,476.854,43.890,61.000,2.928,0.380,724.000,256488.000,52.350,23.792,0.807,73.198,2.572,0.003,0.394,0.965,0.150,4.343,3.987,0.009,1.495,0.553,0.380,4.587,0.815,1.326,0.754,0.009,0.553,0.173,0.014,3.416,0.239
Woburn,137,53485.000,53350.000,0.003,26.312,13.261,10.553,30.234,8.604,11.036,22.035,23.720,17.827,12.918,9.363,5.819,3.556,2.042,1.292,0.541,0.886,14.461,26.661,58.860,4.096,20.570,3.063,31.131,20.944,1.959,0.748,6.963,0.552,30878.000,31509.000,32810.000,3124.000,20190.000,6605.000,6844.000,7143.000,10026.000,3827.000,894.000,366.000,27341.000,6658.000,4737.000,2403.000,0.000,70.750,54.000,0.236,0.150,774.000,491024.000,1.783,0.748,0.932,85.897,0.472,0.002,0.009,0.283,0.002,0.261,0.122,0.002,0.094,0.051,0.004,0.455,0.081,0.097,0.097,0.000,0.017,0.007,0.004,0.201,0.024
