Neighbourhood,id,Population_2016,Population_2011,Population_Change_20112016,Total_private_dwellings,Children_0_to_14_years,Youth_15_to_24_years,Working_Age_25_to_54_years,Preretirement_55_to_64_years,Seniors_65_years_and_older,Income_under_10000_including_loss,Income_10000_to_19999,Income_20000_to_29999,Income_30000_to_39999,Income_40000_to_49999,Income_50000_to_59999,Income_60000_to_69999,Income_70000_to_79999,Income_80000_to_89999,Income_90000_to_99999,Income_100000_and_over,No_certificate_diploma_or_degree,Secondary_high_school_diploma_or_equivalency_certificate,Postsecondary_certificate_diploma_or_degree,Apprenticeship_or_trades_certificate_or_diploma,College_CEGEP_or_other_nonuniversity_certificate_or_diploma,University_certificate_or_diploma_below_bachelor_level,University_certificate_diploma_or_degree_at_bachelor_level_or_above,Bachelors_degree,University_certificate_or_diploma_above_bachelor_level,Degree_in_medicine_dentistry_veterinary_medicine_or_optometry,Masters_degree,Earned_doctorate,Total_income_Average_amount_,Market_income_Average_amount_,Employment_income_Average_amount_,Investment_income_Average_amount_,Private_retirement_income_Average_amount_,Canada_Pension_Plan_CPP_and_Quebec_Pension_Plan_QPP_benefits_Average_amount,Employment_Insurance_EI_benefits_Average_amount,Child_benefits_Average_amount,Social_assistance_benefits_Average_amount,Workers_compensation_benefits_Average_amount_,Working_income_tax_benefit_WITB_Average_amount_,Goods_and_services_tax_GST_credit_and_harmonized_sales_tax_HST_credit_Average_amount_,Aftertax_income_Average_amount_,Income_taxes_Average_amount_,Net_federal_tax_Average_amount_,Provincial_and_territorial_income_taxes_Average_amount_,City_Grants_Funding_,Neighbourhood_Equity_Score,Walk_Score,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Catholic_School_Graduation,Catholic_School_Literacy,Green_Rebate_Programs,Green_Spaces,Health_Providers,Premature_Mortality,Rent_Bank_Applicants,Social_Housing_Units,Social_Housing_Waiting_List,Arsons,Assaults,Break__Enters,Drug_Arrests,Fire_Medical_Calls,Fire_Vehicle_Incidents,Fires__Fire_Alarms,Hazardous_Incidents,Murders,Robberies,Sexual_Assaults,Thefts,Total_Major_Crime_Incidents,Vehicle_Thefts
Edenbridge-Humber Valley,9,15535.000,14943.000,0.040,29.829,9.573,8.150,26.822,10.769,14.856,14.422,14.303,13.588,11.839,10.449,7.827,5.284,4.648,3.258,2.185,12.197,5.371,20.881,73.808,4.587,18.045,2.836,48.521,29.390,4.043,1.690,11.949,1.388,101551.000,104515.000,94418.000,41239.000,30817.000,8228.000,7263.000,4076.000,9097.000,4881.000,721.000,332.000,72156.000,39507.000,25291.000,16238.000,0.000,67.040,78.000,2.429,1.660,766.000,541247.000,47.581,3.446,0.906,90.625,1.198,0.001,0.207,1.206,0.007,3.527,1.178,0.013,0.569,0.154,0.120,2.309,0.087,0.582,0.489,0.000,0.127,0.060,0.027,1.124,0.067
Eglinton East,138,22776.000,22829.000,-0.002,26.432,13.476,10.091,29.595,9.107,11.300,19.770,23.547,19.475,15.137,10.091,5.547,2.980,1.534,0.974,0.354,0.590,15.323,27.372,57.221,6.339,21.830,3.484,25.525,17.422,1.847,0.546,5.248,0.336,30033.000,29752.000,31208.000,2526.000,16316.000,6711.000,7330.000,6981.000,10350.000,2335.000,888.000,380.000,26865.000,5886.000,4148.000,2121.000,52.565,76.150,77.000,2.138,0.329,758.000,646460.000,53.677,2.050,0.931,95.556,0.683,0.004,0.162,0.646,0.013,0.000,0.740,0.000,0.307,0.201,0.057,1.892,0.499,0.696,0.425,0.000,0.044,0.083,0.018,0.815,0.105
Elms-Old Rexdale,5,9456.000,9550.000,-0.010,26.086,14.081,11.233,28.863,9.790,9.946,20.529,21.642,18.511,14.335,10.160,6.193,3.758,2.227,1.322,0.626,0.696,15.736,33.909,50.355,7.005,21.827,2.741,18.883,13.503,1.421,0.305,3.249,0.305,32012.000,31309.000,33188.000,3017.000,14089.000,7332.000,6726.000,8060.000,9350.000,9108.000,887.000,381.000,28355.000,6666.000,4729.000,2404.000,293.194,81.550,73.000,7.079,0.628,776.000,1191040.000,85.728,5.068,0.818,78.846,2.209,0.001,0.524,1.203,0.052,2.471,1.476,0.021,0.743,2.293,0.042,9.372,1.696,3.382,2.010,0.010,0.168,0.042,0.188,3.927,0.440
Englemount-Lawrence,32,22372.000,22086.000,0.013,28.361,15.384,9.701,26.847,7.780,11.926,17.024,20.379,18.080,12.706,9.599,5.809,4.194,2.889,1.833,1.460,6.027,7.116,20.698,72.186,5.163,17.581,5.442,43.860,28.744,3.302,1.767,8.884,1.302,48134.000,48846.000,44910.000,19050.000,19952.000,7275.000,6707.000,7692.000,9562.000,6131.000,807.000,374.000,39911.000,13461.000,9316.000,5309.000,0.000,77.430,60.000,2.676,0.561,774.000,1363202.000,58.965,2.744,0.783,90.909,0.933,0.002,0.154,0.666,0.014,0.000,0.602,0.000,0.285,0.507,0.023,2.273,0.906,1.127,0.489,0.000,0.054,0.045,0.032,1.064,0.118
Eringate-Centennial-West Deane,11,18588.000,18810.000,-0.012,27.310,10.314,9.414,27.048,11.175,14.738,15.135,16.218,14.347,12.443,11.556,9.521,6.730,5.220,3.381,1.806,3.644,7.022,22.655,70.425,4.869,22.194,3.280,40.082,27.012,2.614,0.718,8.662,1.025,47002.000,45288.000,46587.000,5857.000,22654.000,8297.000,7266.000,4526.000,9507.000,11383.000,804.000,335.000,39203.000,11074.000,7558.000,4015.000,34.556,83.040,58.000,0.308,0.000,788.000,1849084.000,62.499,0.197,0.833,87.500,0.452,0.009,0.043,0.574,0.000,0.000,0.128,0.000,0.085,0.266,0.011,1.621,0.170,1.542,0.489,0.000,0.058,0.053,0.021,0.553,0.058
Etobicoke West Mall,13,11848.000,10927.000,0.084,28.533,10.231,8.813,30.331,9.658,12.434,17.330,19.160,17.061,13.940,11.249,8.235,5.274,3.498,1.884,0.915,1.453,11.782,22.961,65.181,5.891,20.770,4.079,34.441,22.432,2.870,0.453,7.628,1.057,38255.000,37892.000,39198.000,3480.000,20113.000,7523.000,6807.000,5523.000,10918.000,9280.000,817.000,351.000,32942.000,8345.000,5809.000,2995.000,0.000,73.190,67.000,7.632,2.334,776.000,613647.000,234.410,9.426,0.879,91.228,2.791,0.012,0.595,1.429,0.119,2.782,2.553,0.009,0.888,0.805,0.192,8.310,1.364,2.736,1.199,0.000,0.092,0.156,0.210,2.553,0.210
Flemingdon Park,44,21933.000,22168.000,-0.011,26.627,14.661,10.231,30.710,7.807,9.964,22.664,25.964,18.841,12.673,8.141,4.903,2.868,1.634,1.018,0.463,0.833,14.818,24.350,60.745,4.029,18.458,3.553,34.879,22.617,1.863,1.127,8.232,0.953,28654.000,29445.000,30763.000,2946.000,16097.000,6089.000,7144.000,8026.000,11205.000,2587.000,881.000,371.000,25608.000,6366.000,4518.000,2323.000,40.599,40.390,71.000,1.944,0.604,730.000,365107.000,31.735,11.697,0.805,78.261,0.704,0.003,0.041,1.084,0.068,4.019,2.071,0.000,0.483,0.217,0.063,1.768,0.266,0.695,0.280,0.009,0.077,0.027,0.041,0.997,0.081
Forest Hill North,102,12806.000,12474.000,0.027,31.107,11.079,8.067,28.988,9.277,11.482,15.181,15.769,14.496,10.970,9.109,7.101,5.240,4.016,2.644,2.008,13.467,3.519,15.693,80.788,3.941,14.075,4.785,57.987,32.301,4.996,3.871,13.934,2.956,85099.000,87721.000,74708.000,41604.000,28634.000,8159.000,8278.000,4087.000,9062.000,0.000,747.000,336.000,62714.000,31718.000,20488.000,12862.000,1885.137,35.810,63.000,1.483,1.627,721.000,204104.000,40.789,34.857,0.813,75.000,0.713,0.006,0.064,1.599,0.128,5.748,9.147,0.024,1.275,0.433,0.281,5.131,0.906,1.804,0.722,0.000,0.321,0.184,0.241,2.838,0.104
Forest Hill South,101,10732.000,10926.000,-0.018,33.253,8.479,8.417,26.308,9.504,14.039,12.556,10.500,10.778,9.778,8.667,7.556,6.111,4.667,3.556,2.722,23.111,1.893,12.995,84.940,1.291,11.360,3.098,69.105,37.349,4.303,4.647,20.224,2.754,204521.000,207463.000,164751.000,102730.000,47658.000,9164.000,6881.000,2934.000,5873.000,0.000,710.000,307.000,142627.000,76424.000,49228.000,31961.000,0.000,53.790,63.000,1.913,4.036,731.000,553698.000,25.645,33.535,0.856,77.833,3.029,0.008,0.293,1.801,0.577,7.194,6.517,0.009,1.620,0.970,0.311,8.191,2.133,2.325,1.382,0.000,0.467,0.092,0.037,3.871,0.375
Glenfield-Jane Heights,25,30491.000,31390.000,-0.029,25.464,14.145,11.042,28.315,8.807,12.227,19.472,26.217,20.891,14.909,9.343,4.671,2.336,1.135,0.524,0.218,0.284,30.879,29.751,39.502,6.700,18.872,2.687,11.343,8.425,0.862,0.066,1.990,0.066,27984.000,26516.000,29386.000,2423.000,10923.000,6874.000,6384.000,8136.000,9460.000,10359.000,856.000,391.000,25395.000,5148.000,3692.000,1867.000,0.000,65.720,66.000,0.395,0.287,767.000,463859.000,3.702,2.520,0.882,82.540,0.959,0.000,0.035,0.421,0.029,0.000,0.653,0.000,0.140,0.073,0.041,0.943,0.217,0.274,0.124,0.000,0.080,0.029,0.010,0.405,0.032
Greenwood-Coxwell,65,14417.000,14083.000,0.024,30.897,11.797,6.258,34.719,8.464,7.865,16.340,20.392,13.813,10.588,8.845,7.843,6.275,5.447,3.834,2.135,4.488,10.550,18.934,70.572,3.443,18.767,1.943,46.419,30.428,2.943,0.389,11.383,1.166,46206.000,49276.000,51648.000,4623.000,16126.000,5985.000,7901.000,4790.000,9822.000,4881.000,812.000,346.000,38307.000,12604.000,8531.000,4671.000,107.932,60.520,79.000,2.649,1.626,756.000,478489.000,40.048,15.174,0.796,77.193,2.180,0.002,0.412,1.037,0.114,1.108,4.062,0.007,1.236,0.873,0.241,4.516,0.682,1.257,0.724,0.000,0.284,0.128,0.071,3.188,0.355
Guildwood,140,9917.000,9816.000,0.010,28.960,9.274,7.627,24.133,11.136,18.870,13.503,14.437,13.503,12.259,12.010,8.774,7.467,6.285,3.920,2.427,5.414,6.237,22.290,71.779,4.806,22.393,2.658,42.025,27.198,4.806,0.204,8.487,1.534,53203.000,50717.000,51960.000,5835.000,28126.000,8521.000,7625.000,3886.000,8329.000,0.000,807.000,329.000,43848.000,12746.000,8659.000,4642.000,254.686,65.840,68.000,4.319,1.834,775.000,484743.000,120.273,7.070,0.905,87.719,3.627,0.004,0.194,1.293,0.000,10.473,2.567,0.000,0.509,0.642,0.092,4.024,1.100,1.416,0.530,0.000,0.163,0.132,0.061,1.874,0.275
Henry Farm,53,15723.000,11333.000,0.387,29.701,11.195,10.413,35.954,6.212,6.525,26.004,18.661,13.955,11.278,9.452,6.937,5.314,3.245,1.826,1.095,2.231,4.881,14.748,80.371,3.448,15.544,4.244,57.135,34.960,3.024,1.220,16.817,1.167,36359.000,39224.000,40242.000,4445.000,22484.000,6732.000,7093.000,6233.000,12476.000,0.000,839.000,331.000,30931.000,9848.000,7104.000,3645.000,0.000,62.370,57.000,0.821,1.588,777.000,784397.000,19.474,5.877,0.865,78.431,2.091,0.008,0.088,1.513,0.018,1.500,1.597,0.000,0.221,0.318,0.035,3.424,0.256,1.129,0.459,0.000,0.044,0.088,0.009,0.847,0.132
High Park North,88,22162.000,21292.000,0.041,34.240,8.455,5.607,34.593,7.669,9.435,14.657,15.258,12.551,11.813,10.418,8.750,6.973,5.469,4.184,2.297,7.629,3.566,12.924,83.545,2.825,16.031,2.472,62.182,36.900,3.672,1.059,17.126,3.355,57465.000,58411.000,58349.000,8149.000,26138.000,7946.000,8138.000,3426.000,7897.000,3673.000,767.000,317.000,45893.000,16030.000,10719.000,5954.000,143.946,65.180,64.000,1.879,0.141,757.000,626626.000,20.463,3.217,0.933,84.211,0.850,0.001,0.235,0.813,0.005,1.409,1.202,0.000,0.535,0.545,0.023,3.861,0.573,0.892,0.371,0.005,0.052,0.047,0.014,1.292,0.070
High Park-Swansea,87,23925.000,21740.000,0.101,32.531,9.991,5.998,32.655,8.100,10.725,12.881,12.699,12.282,10.952,10.613,8.840,7.405,5.684,4.302,2.712,11.630,3.057,12.956,83.987,2.779,16.499,2.501,62.279,37.965,4.029,1.528,16.151,2.709,71204.000,71303.000,70201.000,13462.000,27920.000,8234.000,7299.000,3702.000,9261.000,0.000,741.000,319.000,54872.000,21485.000,14139.000,8146.000,91.996,69.670,84.000,3.905,0.961,759.000,540911.000,73.717,5.469,0.789,89.394,1.582,0.001,0.294,0.678,0.014,0.957,1.950,0.000,0.925,0.736,0.083,4.554,0.667,2.318,0.879,0.000,0.166,0.106,0.046,2.231,0.170
Highland Creek,134,12494.000,13097.000,-0.046,23.806,9.414,11.729,28.150,12.308,14.593,18.918,19.301,14.559,12.165,10.920,7.567,5.077,4.358,2.826,1.533,2.778,9.682,24.281,66.036,4.917,22.995,4.539,33.661,23.222,2.194,0.908,6.505,0.605,40972.000,39890.000,40718.000,5276.000,22298.000,7658.000,7339.000,5065.000,9142.000,8578.000,847.000,336.000,34837.000,9476.000,6580.000,3448.000,0.000,71.650,71.000,3.512,0.458,768.000,533089.000,71.597,4.780,0.917,75.926,1.397,0.009,0.977,0.894,0.031,0.932,1.359,0.008,0.321,0.283,0.076,3.673,0.618,1.122,0.733,0.000,0.122,0.023,0.046,1.008,0.137
Hillcrest Village,48,16934.000,17656.000,-0.041,28.195,8.978,9.212,25.725,9.615,18.275,21.851,21.851,13.238,10.071,8.826,7.082,4.911,3.986,3.132,1.566,3.488,4.619,15.177,80.144,2.100,16.137,4.619,57.169,35.333,3.359,1.320,14.877,2.280,40442.000,41481.000,41429.000,9349.000,25810.000,6865.000,6802.000,4675.000,7345.000,0.000,861.000,341.000,34203.000,10929.000,7600.000,4083.000,70.616,51.870,76.000,4.061,0.595,736.000,372110.000,106.072,8.507,0.895,81.395,0.453,0.001,0.436,0.850,0.045,0.000,2.033,0.000,0.221,0.306,0.079,1.342,0.770,0.549,0.278,0.000,0.057,0.028,0.011,0.759,0.057
Humber Heights-Westmount,8,10948.000,10583.000,0.034,28.040,9.542,7.502,24.941,9.937,20.038,14.880,18.193,16.446,12.590,11.747,8.072,5.843,3.976,3.012,1.506,3.735,8.428,24.242,67.140,6.534,23.674,4.167,33.049,20.360,3.220,0.852,7.102,1.231,45615.000,44047.000,45831.000,7349.000,20844.000,8024.000,7230.000,5353.000,9783.000,10480.000,867.000,343.000,38150.000,11126.000,7737.000,4077.000,75.593,48.670,67.000,3.269,0.709,725.000,538203.000,44.194,28.196,0.750,83.582,2.069,0.010,0.170,2.176,0.198,6.548,4.876,0.000,2.495,0.406,0.321,5.698,0.444,1.937,1.181,0.000,0.236,0.198,0.066,3.865,0.142
Humber Summit,21,12416.000,12525.000,-0.009,25.657,12.894,10.291,29.049,7.868,14.240,19.119,24.611,20.207,14.352,9.378,5.596,3.005,1.658,0.725,0.518,0.829,22.500,30.161,47.339,6.613,18.952,2.258,19.355,12.581,1.210,0.323,5.000,0.565,30731.000,28961.000,32617.000,3538.000,12531.000,7347.000,6752.000,7653.000,10529.000,8711.000,935.000,374.000,27334.000,6353.000,4526.000,2299.000,303.393,33.090,73.000,3.585,0.168,724.000,313618.000,78.619,30.483,0.875,85.714,0.152,0.005,0.144,1.686,0.088,4.399,8.822,0.016,1.038,0.200,0.240,4.862,0.327,1.812,0.695,0.000,0.136,0.064,0.032,2.020,0.311
Humbermede,22,15545.000,15853.000,-0.019,25.759,14.074,10.633,30.800,8.411,10.323,20.406,23.455,20.025,14.691,10.330,5.207,2.794,1.609,0.720,0.296,0.466,20.885,29.361,49.816,6.695,20.393,2.457,20.270,13.943,1.474,0.737,3.993,0.430,29528.000,29201.000,31321.000,2453.000,11766.000,6828.000,7283.000,7161.000,10049.000,7621.000,885.000,371.000,26403.000,5726.000,4085.000,2094.000,0.000,85.820,77.000,1.974,1.728,791.000,1071823.000,18.299,1.508,0.793,83.333,1.388,0.005,0.063,0.930,0.032,0.561,0.366,0.000,0.252,0.397,0.032,2.056,0.372,0.946,0.833,0.000,0.202,0.038,0.050,1.123,0.151
Humewood-Cedarvale,106,14365.000,14108.000,0.018,32.329,10.195,7.582,32.988,7.770,9.136,14.176,17.216,15.803,12.034,9.465,6.724,5.139,4.069,3.126,1.799,10.450,4.569,14.286,81.261,3.008,16.310,3.817,58.068,33.372,4.685,1.851,15.674,2.545,65274.000,66750.000,62707.000,17835.000,26816.000,7604.000,7600.000,3784.000,9216.000,3278.000,741.000,324.000,49925.000,22120.000,14921.000,8567.000,563.602,53.690,74.000,0.914,0.404,728.000,518555.000,9.115,9.257,0.714,65.217,0.602,0.003,0.071,1.608,0.064,1.687,2.311,0.007,0.751,0.170,0.142,2.141,0.468,0.723,0.454,0.000,0.064,0.106,0.021,1.318,0.064
Ionview,125,13641.000,13091.000,0.042,28.066,12.205,8.691,31.965,9.088,9.986,18.886,22.993,19.027,15.486,10.576,6.091,3.447,1.841,0.755,0.519,0.378,13.642,26.371,59.987,5.222,21.671,3.786,29.243,18.473,2.285,0.653,7.311,0.522,31383.000,31903.000,33307.000,2510.000,15030.000,7072.000,6101.000,6070.000,9344.000,2353.000,822.000,359.000,27852.000,6115.000,4334.000,2224.000,0.000,65.610,69.000,1.024,0.672,756.000,581398.000,7.769,4.346,0.667,87.500,0.970,0.002,0.023,1.782,0.031,0.596,0.863,0.000,0.420,0.237,0.168,2.337,0.749,0.558,0.489,0.000,0.084,0.023,0.031,1.024,0.061
Islington-City Centre West,14,43965.000,38084.000,0.154,31.174,9.112,7.351,32.315,8.455,11.594,15.081,16.706,13.415,12.568,11.332,9.040,6.430,4.958,3.250,1.833,5.388,6.007,18.557,75.417,4.395,19.612,3.320,48.052,31.741,3.512,0.979,10.823,1.151,52787.000,53747.000,54171.000,8708.000,24601.000,7619.000,7802.000,4623.000,9038.000,6056.000,835.000,330.000,42550.000,14633.000,9906.000,5438.000,6.827,66.940,77.000,0.439,0.562,763.000,518568.000,9.755,2.754,0.750,88.889,0.688,0.000,0.087,0.578,0.021,0.754,0.607,0.000,0.215,0.108,0.037,0.993,0.063,0.289,0.244,0.000,0.013,0.011,0.005,0.410,0.021
Junction Area,90,14366.000,14027.000,0.024,30.909,10.526,7.041,35.903,8.411,7.209,15.435,17.077,14.267,11.630,11.284,8.604,6.572,5.447,3.243,1.902,4.540,7.552,18.192,74.311,3.914,18.247,2.481,49.669,31.643,3.363,0.221,12.734,1.654,49709.000,50540.000,51329.000,5465.000,19870.000,7144.000,7747.000,3610.000,9451.000,8641.000,760.000,318.000,40679.000,13085.000,8781.000,4972.000,0.000,59.080,73.000,0.399,0.677,748.000,440700.000,3.978,4.149,0.833,69.231,0.870,0.001,0.007,1.857,0.036,1.433,0.955,0.007,0.428,0.086,0.029,1.540,0.164,0.471,0.378,0.000,0.071,0.043,0.014,0.720,0.050
Keelesdale-Eglinton West,110,11058.000,10638.000,0.039,29.280,10.304,9.152,30.656,9.184,11.424,17.306,23.168,20.068,13.529,9.977,6.877,4.059,2.649,1.184,0.564,0.620,33.440,27.025,39.535,5.293,16.119,2.406,15.638,11.628,1.604,0.321,1.844,0.241,33316.000,33497.000,36304.000,3673.000,11925.000,6736.000,6848.000,5708.000,8412.000,11304.000,819.000,357.000,29133.000,7275.000,5085.000,2628.000,1118.998,33.210,77.000,1.476,0.564,721.000,254151.000,13.151,24.770,0.744,75.000,0.761,0.002,0.085,2.559,0.103,3.318,8.639,0.009,1.758,0.479,0.263,4.916,0.169,1.993,0.837,0.009,0.263,0.179,0.066,3.224,0.207
Kennedy Park,124,17123.000,17058.000,0.004,28.670,11.555,9.057,29.648,10.452,10.618,19.139,25.223,18.472,13.687,10.423,5.564,3.487,2.114,1.076,0.260,0.556,14.316,28.004,57.576,6.113,21.526,4.127,25.914,17.032,1.567,0.470,6.270,0.575,30974.000,31760.000,33653.000,2236.000,15892.000,6554.000,7140.000,6544.000,9214.000,4070.000,838.000,363.000,27439.000,6620.000,4656.000,2404.000,192.754,65.820,85.000,3.025,1.935,741.000,535867.000,21.316,11.144,0.823,80.000,1.665,0.001,0.270,1.939,0.082,5.862,3.512,0.006,1.477,0.598,0.270,5.077,0.387,1.624,0.856,0.000,0.229,0.088,0.023,2.744,0.059
Kensington-Chinatown,78,17945.000,18495.000,-0.030,35.219,4.752,12.107,31.659,6.487,9.776,23.728,26.113,14.218,9.892,7.729,5.184,3.849,2.990,2.036,1.209,3.053,12.869,19.642,67.392,3.096,13.498,2.274,48.621,28.979,2.274,1.838,12.095,3.435,37422.000,41165.000,42026.000,8336.000,18243.000,5405.000,6413.000,6493.000,9028.000,6947.000,757.000,322.000,31282.000,12354.000,8877.000,4736.000,0.000,82.620,88.000,2.871,0.903,764.000,751945.000,30.787,3.633,0.861,86.486,1.746,0.003,0.130,1.196,0.092,1.044,0.773,0.000,0.616,0.643,0.065,1.995,0.124,0.892,0.876,0.000,0.059,0.076,0.038,1.579,0.081
Kingsview Village-The Westway,6,22000.000,21723.000,0.013,27.026,14.045,10.004,28.603,8.447,11.875,19.570,21.539,17.184,13.246,10.263,6.921,4.027,2.864,1.611,0.835,1.939,15.468,28.552,56.025,5.710,20.414,3.327,26.529,17.896,1.978,0.854,5.306,0.450,36674.000,36340.000,37193.000,5895.000,21601.000,7815.000,7331.000,7960.000,11477.000,7604.000,944.000,375.000,31447.000,9341.000,6484.000,3440.000,172.628,68.110,85.000,0.672,0.985,749.000,521549.000,8.728,4.171,0.696,67.742,0.985,0.000,0.051,1.487,0.032,3.871,1.114,0.009,0.640,0.216,0.106,2.049,0.138,0.575,0.437,0.005,0.060,0.051,0.005,1.100,0.018
Kingsway South,15,9271.000,9170.000,0.011,28.593,12.177,8.478,25.010,10.366,15.376,12.954,9.184,8.705,8.293,7.951,7.608,6.511,6.169,4.866,3.701,24.058,1.083,9.859,88.841,1.625,13.759,1.408,72.156,42.904,4.767,1.517,19.827,3.034,144642.000,145108.000,141819.000,33859.000,40836.000,8892.000,9323.000,2407.000,0.000,0.000,545.000,304.000,97836.000,57874.000,36696.000,23112.000,62.159,52.130,88.000,3.435,1.025,738.000,490920.000,25.540,19.215,0.696,64.000,2.715,0.001,0.251,3.368,0.076,10.022,4.198,0.022,1.996,1.047,0.327,5.027,0.436,1.614,1.069,0.000,0.458,0.196,0.022,4.275,0.229
Lambton Baby Point,114,7985.000,7921.000,0.008,28.718,15.131,8.079,29.548,9.373,9.150,15.909,15.657,11.785,9.764,8.670,6.734,5.808,5.303,4.714,2.441,13.215,5.970,14.696,79.334,4.133,15.959,2.067,57.176,31.573,4.478,1.263,16.418,3.100,76629.000,80422.000,77782.000,20200.000,28233.000,7924.000,9271.000,5089.000,9130.000,0.000,768.000,380.000,57429.000,27841.000,18021.000,10926.000,300.593,67.560,86.000,5.227,1.919,755.000,585093.000,35.172,7.903,0.793,85.714,1.767,0.000,0.669,3.484,0.025,9.027,1.932,0.013,1.528,0.619,0.429,6.199,0.745,1.502,0.909,0.013,0.366,0.151,0.038,3.308,0.164
L'Amoreaux,117,43993.000,44919.000,-0.021,26.042,10.292,9.636,28.941,9.972,15.118,21.839,25.276,17.256,11.895,8.883,5.474,3.395,2.405,1.471,0.835,1.273,16.214,24.386,59.465,3.471,20.332,3.364,32.385,22.596,2.199,0.604,6.231,0.798,31826.000,31844.000,33729.000,3809.000,20068.000,6494.000,7133.000,6166.000,9737.000,4281.000,887.000,352.000,27944.000,7380.000,5270.000,2720.000,167.499,76.160,90.000,0.670,0.361,757.000,842668.000,4.993,0.641,0.500,85.714,0.174,0.000,0.082,0.459,0.004,0.427,0.229,0.004,0.138,0.073,0.038,0.808,0.105,0.232,0.100,0.000,0.040,0.020,0.009,0.325,0.007
Lansing-Westgate,38,16164.000,14642.000,0.104,30.020,10.464,9.102,32.817,8.258,9.339,19.093,15.175,11.794,9.988,8.990,7.184,5.955,5.071,3.726,2.536,10.488,2.691,13.245,84.011,2.005,14.090,3.272,64.380,37.520,4.749,2.533,17.467,2.164,72371.000,75738.000,69048.000,25306.000,30480.000,7977.000,8542.000,3796.000,8614.000,0.000,881.000,313.000,54879.000,25233.000,16812.000,10053.000,0.000,81.210,90.000,2.233,1.591,767.000,818592.000,27.544,3.435,0.900,70.000,1.031,0.002,0.212,1.875,0.027,1.113,1.100,0.000,1.550,0.540,0.184,4.262,0.314,0.881,0.512,0.000,0.273,0.130,0.000,2.746,0.068
Lawrence Park North,105,14607.000,14541.000,0.005,27.815,16.228,8.262,29.586,8.535,9.574,13.840,10.857,8.248,7.316,6.897,6.897,6.337,6.337,5.638,4.147,23.486,1.563,8.659,89.779,1.693,10.677,2.539,75.000,44.141,4.232,2.539,20.638,3.451,111730.000,113540.000,116617.000,15647.000,35666.000,8427.000,9059.000,2657.000,7042.000,0.000,764.000,301.000,79100.000,42008.000,26958.000,16523.000,774.727,58.070,89.000,0.915,0.206,739.000,571246.000,12.303,7.022,0.692,53.333,0.818,0.000,0.083,1.981,0.028,4.525,1.403,0.014,0.743,0.316,0.172,1.465,0.021,0.640,0.296,0.000,0.110,0.083,0.007,1.520,0.089
Lawrence Park South,103,15179.000,15070.000,0.007,28.413,13.434,9.893,27.719,9.987,10.554,14.658,10.470,8.333,7.607,7.051,6.197,5.855,4.915,4.701,3.419,26.795,1.615,8.509,90.062,1.491,9.752,2.733,76.149,41.553,4.224,3.851,23.230,3.230,169203.000,173535.000,160251.000,49089.000,44390.000,8594.000,7971.000,2590.000,6645.000,0.000,644.000,299.000,111586.000,73244.000,47166.000,29871.000,2165.700,59.940,91.000,7.943,1.486,746.000,537087.000,82.137,17.883,0.657,65.116,2.575,0.018,0.239,1.877,0.046,8.713,5.547,0.013,1.831,1.208,0.591,5.939,1.321,2.435,1.533,0.007,0.312,0.139,0.060,4.380,0.232
Leaside-Bennington,56,16828.000,17011.000,-0.011,28.541,13.969,9.249,27.448,9.950,10.843,14.713,10.622,9.087,7.946,8.183,6.845,6.216,5.704,4.760,3.462,22.463,2.336,11.282,86.325,1.766,13.447,2.279,69.060,41.026,4.217,2.165,18.348,3.476,125564.000,128031.000,129429.000,21732.000,35789.000,8766.000,9002.000,2724.000,6107.000,0.000,629.000,308.000,85496.000,51704.000,33285.000,20499.000,409.147,74.420,91.000,1.705,0.000,744.000,537025.000,14.773,5.796,1.000,76.923,0.600,0.001,0.106,2.317,0.065,8.430,2.105,0.006,0.494,0.447,0.229,3.927,0.388,2.169,0.588,0.000,0.188,0.059,0.000,1.487,0.071
Little Portugal,84,15559.000,12050.000,0.291,34.207,5.916,6.782,39.658,5.599,7.839,13.638,18.172,16.336,13.451,11.577,8.468,6.369,4.271,2.548,1.386,3.784,10.807,18.405,70.835,3.067,15.904,2.076,49.646,33.742,1.888,0.613,12.034,1.510,45737.000,46868.000,47866.000,6269.000,13591.000,6822.000,7243.000,4761.000,9735.000,4555.000,758.000,318.000,37924.000,11364.000,7854.000,4150.000,310.183,29.810,88.000,1.187,0.249,701.000,484444.000,16.025,20.672,0.786,63.636,0.207,0.000,0.008,3.245,0.033,21.502,5.394,0.008,0.963,0.299,0.456,3.427,0.423,1.759,1.079,0.008,0.149,0.108,0.008,2.149,0.158
Long Branch,19,10084.000,9632.000,0.047,33.760,8.760,7.415,30.873,9.974,9.219,14.685,18.193,15.874,12.842,11.474,7.669,5.767,4.697,2.973,1.665,4.162,9.992,23.288,66.882,5.238,23.368,2.740,35.536,23.288,2.337,0.725,7.897,1.128,47384.000,48261.000,48818.000,6802.000,19551.000,7843.000,7857.000,4433.000,10003.000,6784.000,834.000,327.000,39000.000,12408.000,8324.000,4583.000,5463.579,50.110,95.000,8.731,1.142,709.000,457524.000,125.114,36.441,0.500,40.000,0.727,0.001,0.197,6.381,0.145,32.527,16.331,0.062,3.852,1.204,3.135,18.937,1.152,8.358,2.232,0.000,0.664,0.374,0.052,9.562,0.280
